N_STOREY,Htip,LBAYS,NBAYS,VbMax_W
2,2.8,4,5,0.191988967
2,2.8,6,5,0.206362675
2,2.8,4,3,0.198231302
2,2.8,8,3,0.217215224
3,2.8,4,5,0.144209435
3,2.8,6,5,0.158323429
3,2.8,4,3,0.148948469
3,2.8,8,3,0.1815192
4,2.8,4,5,0.125098767
4,2.8,6,5,0.145203371
4,2.8,4,3,0.127096151
4,2.8,8,3,0.165683829
5,2.8,4,5,0.116735738
5,2.8,6,5,0.14379017
5,2.8,4,3,0.117913604
5,2.8,8,3,0.148844452
6,2.8,4,5,0.106829113
6,2.8,6,5,0.12792138
6,2.8,4,3,0.101145094
6,2.8,8,3,0.145368608
7,2.8,4,5,0.104189902
7,2.8,6,5,0.117788521
7,2.8,4,3,0.099513292
7,2.8,8,3,0.13638721
8,2.8,4,5,0.098188373
8,2.8,6,5,0.119908115
8,2.8,4,3,0.09985262
8,2.8,8,3,0.126682647
10,2.8,4,5,0.091750957
10,2.8,6,5,0.115855912
10,2.8,4,3,0.091504665
10,2.8,8,3,0.116905997
2,2.8,4,5,0.200885225
2,2.8,6,5,0.219130687
2,2.8,4,3,0.2101077
2,2.8,8,3,0.281068757
3,2.8,4,5,0.156060395
3,2.8,6,5,0.213664468
3,2.8,4,3,0.159225161
3,2.8,8,3,0.21703307
4,2.8,4,5,0.166076139
4,2.8,6,5,0.18865847
4,2.8,4,3,0.170899257
4,2.8,8,3,0.21244962
5,2.8,4,5,0.161466312
5,2.8,6,5,0.185114506
5,2.8,4,3,0.167642053
5,2.8,8,3,0.202110897
6,2.8,4,5,0.155927802
6,2.8,6,5,0.172839368
6,2.8,4,3,0.155564532
6,2.8,8,3,0.202205661
7,2.8,4,5,0.141305124
7,2.8,6,5,0.18888931
7,2.8,4,3,0.141369466
7,2.8,8,3,0.192251655
8,2.8,4,5,0.139525739
8,2.8,6,5,0.169371089
8,2.8,4,3,0.135696939
8,2.8,8,3,0.180394158
10,2.8,4,5,0.119995393
10,2.8,6,5,0.148030509
10,2.8,4,3,0.119923619
10,2.8,8,3,0.167330651
2,2.8,4,5,0.213548368
2,2.8,6,5,0.258226958
2,2.8,4,3,0.236732273
2,2.8,8,3,0.427648066
3,2.8,4,5,0.203450426
3,2.8,6,5,0.267629404
3,2.8,4,3,0.211742564
3,2.8,8,3,0.329282376
4,2.8,4,5,0.185821842
4,2.8,6,5,0.225840119
4,2.8,4,3,0.185425111
4,2.8,8,3,0.268045589
5,2.8,4,5,0.161655302
5,2.8,6,5,0.191755311
5,2.8,4,3,0.16786594
5,2.8,8,3,0.232363353
6,2.8,4,5,0.14988303
6,2.8,6,5,0.176488167
6,2.8,4,3,0.152340012
6,2.8,8,3,0.206765628
7,2.8,4,5,0.134609692
7,2.8,6,5,0.18116251
7,2.8,4,3,0.13344084
7,2.8,8,3,0.217768378
8,2.8,4,5,0.123563846
