CODIGO INTERNO,# STOREY,Codigo,SYSTEM,Detailing,LBAYS (m),NBAYS,VbMax_W,SDR_at_0.8_Vb_W,Push_data
6,2,CCCSR-84,F,OMF,4,5,0.191988967,4.208289978,F_CCCSR-84_Baja_2P_5L4PushData
7,2,CCCSR-84,F,OMF,6,5,0.206362675,2.228683039,F_CCCSR-84_Baja_2P_5L6PushData
8,2,CCCSR-84,F,OMF,4,3,0.198231302,4.336657068,F_CCCSR-84_Baja_2P_3L4PushData
10,2,CCCSR-84,F,OMF,8,3,0.217215224,2.223681015,F_CCCSR-84_Baja_2P_3L8PushData
11,3,CCCSR-84,F,OMF,4,5,0.144209435,2.592601728,F_CCCSR-84_Baja_3P_5L4PushData
12,3,CCCSR-84,F,OMF,6,5,0.158323429,1.638624134,F_CCCSR-84_Baja_3P_5L6PushData
13,3,CCCSR-84,F,OMF,4,3,0.148948469,2.902898693,F_CCCSR-84_Baja_3P_3L4PushData
15,3,CCCSR-84,F,OMF,8,3,0.1815192,1.596328972,F_CCCSR-84_Baja_3P_3L8PushData
16,4,CCCSR-84,F,OMF,4,5,0.125098767,3.226707163,F_CCCSR-84_Baja_4P_5L4PushData
17,4,CCCSR-84,F,OMF,6,5,0.145203371,1.855308579,F_CCCSR-84_Baja_4P_5L6PushData
18,4,CCCSR-84,F,OMF,4,3,0.127096151,2.584132246,F_CCCSR-84_Baja_4P_3L4PushData
20,4,CCCSR-84,F,OMF,8,3,0.165683829,2.579963594,F_CCCSR-84_Baja_4P_3L8PushData
21,5,CCCSR-84,F,OMF,4,5,0.116735738,1.98005628,F_CCCSR-84_Baja_5P_5L4PushData
22,5,CCCSR-84,F,OMF,6,5,0.14379017,1.558361303,F_CCCSR-84_Baja_5P_5L6PushData
23,5,CCCSR-84,F,OMF,4,3,0.117913604,2.08790658,F_CCCSR-84_Baja_5P_3L4PushData
25,5,CCCSR-84,F,OMF,8,3,0.148844452,2.424992392,F_CCCSR-84_Baja_5P_3L8PushData
26,6,CCCSR-84,F,OMF,4,5,0.106829113,2.31264287,F_CCCSR-84_Baja_6P_5L4PushData
27,6,CCCSR-84,F,OMF,6,5,0.12792138,2.025344808,F_CCCSR-84_Baja_6P_5L6PushData
28,6,CCCSR-84,F,OMF,4,3,0.101145094,3.265609217,F_CCCSR-84_Baja_6P_3L4PushData
30,6,CCCSR-84,F,OMF,8,3,0.145368608,1.686263208,F_CCCSR-84_Baja_6P_3L8PushData
31,7,CCCSR-84,F,OMF,4,5,0.104189902,2.216142608,F_CCCSR-84_Baja_7P_5L4PushData
32,7,CCCSR-84,F,OMF,6,5,0.117788521,2.017577945,F_CCCSR-84_Baja_7P_5L6PushData
33,7,CCCSR-84,F,OMF,4,3,0.099513292,3.430890141,F_CCCSR-84_Baja_7P_3L4PushData
35,7,CCCSR-84,F,OMF,8,3,0.13638721,2.250548873,F_CCCSR-84_Baja_7P_3L8PushData
36,8,CCCSR-84,F,OMF,4,5,0.098188373,3.001072874,F_CCCSR-84_Baja_8P_5L4PushData
37,8,CCCSR-84,F,OMF,6,5,0.119908115,1.743953302,F_CCCSR-84_Baja_8P_5L6PushData
38,8,CCCSR-84,F,OMF,4,3,0.09985262,3.002599376,F_CCCSR-84_Baja_8P_3L4PushData
40,8,CCCSR-84,F,OMF,8,3,0.126682647,2.074591699,F_CCCSR-84_Baja_8P_3L8PushData
41,10,CCCSR-84,F,OMF,4,5,0.091750957,3.783261818,F_CCCSR-84_Baja_10P_5L4PushData
42,10,CCCSR-84,F,OMF,6,5,0.115855912,1.690223395,F_CCCSR-84_Baja_10P_5L6PushData
43,10,CCCSR-84,F,OMF,4,3,0.091504665,3.567700153,F_CCCSR-84_Baja_10P_3L4PushData
45,10,CCCSR-84,F,OMF,8,3,0.116905997,1.941575749,F_CCCSR-84_Baja_10P_3L8PushData
66,2,CCCSR-84,F,IMF,4,5,0.200885225,4.330824013,F_CCCSR-84_Intermedia_2P_5L4PushData
67,2,CCCSR-84,F,IMF,6,5,0.219130687,3.037814081,F_CCCSR-84_Intermedia_2P_5L6PushData
68,2,CCCSR-84,F,IMF,4,3,0.2101077,4.719643697,F_CCCSR-84_Intermedia_2P_3L4PushData
70,2,CCCSR-84,F,IMF,8,3,0.281068757,2.880101138,F_CCCSR-84_Intermedia_2P_3L8PushData
71,3,CCCSR-84,F,IMF,4,5,0.156060395,4.502902142,F_CCCSR-84_Intermedia_3P_5L4PushData
72,3,CCCSR-84,F,IMF,6,5,0.213664468,2.554762529,F_CCCSR-84_Intermedia_3P_5L6PushData
73,3,CCCSR-84,F,IMF,4,3,0.159225161,3.046848322,F_CCCSR-84_Intermedia_3P_3L4PushData
75,3,CCCSR-84,F,IMF,8,3,0.21703307,2.138164521,F_CCCSR-84_Intermedia_3P_3L8PushData
76,4,CCCSR-84,F,IMF,4,5,0.166076139,2.92401685,F_CCCSR-84_Intermedia_4P_5L4PushData
77,4,CCCSR-84,F,IMF,6,5,0.18865847,2.208375195,F_CCCSR-84_Intermedia_4P_5L6PushData
78,4,CCCSR-84,F,IMF,4,3,0.170899257,3.607178883,F_CCCSR-84_Intermedia_4P_3L4PushData
80,4,CCCSR-84,F,IMF,8,3,0.21244962,2.806001543,F_CCCSR-84_Intermedia_4P_3L8PushData
81,5,CCCSR-84,F,IMF,4,5,0.161466312,3.167310169,F_CCCSR-84_Intermedia_5P_5L4PushData
82,5,CCCSR-84,F,IMF,6,5,0.185114506,2.143121099,F_CCCSR-84_Intermedia_5P_5L6PushData
83,5,CCCSR-84,F,IMF,4,3,0.167642053,3.570831609,F_CCCSR-84_Intermedia_5P_3L4PushData
85,5,CCCSR-84,F,IMF,8,3,0.202110897,2.765095373,F_CCCSR-84_Intermedia_5P_3L8PushData
86.1,6,CCCSR-84,F,IMF,4,5,0.155927802,2.344155379,F_CCCSR-84_Intermedia_6P_5L4MPushData
87,6,CCCSR-84,F,IMF,6,5,0.172839368,2.018588268,F_CCCSR-84_Intermedia_6P_5L6PushData
88,6,CCCSR-84,F,IMF,4,3,0.155564532,3.491334698,F_CCCSR-84_Intermedia_6P_3L4PushData
90,6,CCCSR-84,F,IMF,8,3,0.202205661,2.224237498,F_CCCSR-84_Intermedia_6P_3L8PushData
91,7,CCCSR-84,F,IMF,4,5,0.141305124,2.278197182,F_CCCSR-84_Intermedia_7P_5L4PushData
92,7,CCCSR-84,F,IMF,6,5,0.18888931,3.321047671,F_CCCSR-84_Intermedia_7P_5L6PushData
93,7,CCCSR-84,F,IMF,4,3,0.141369466,2.817590262,F_CCCSR-84_Intermedia_7P_3L4PushData
