CODIGO INTERNO,N_STORY,Htip,SYSTEM,LBAYS (m),NBAYS,VbMax_W
6,2,2.8,1,4,5,0.191988967
7,2,2.8,1,6,5,0.206362675
8,2,2.8,1,4,3,0.198231302
10,2,2.8,1,8,3,0.217215224
11,3,2.8,1,4,5,0.144209435
12,3,2.8,1,6,5,0.158323429
13,3,2.8,1,4,3,0.148948469
15,3,2.8,1,8,3,0.1815192
16,4,2.8,1,4,5,0.125098767
17,4,2.8,1,6,5,0.145203371
18,4,2.8,1,4,3,0.127096151
20,4,2.8,1,8,3,0.165683829
21,5,2.8,1,4,5,0.116735738
22,5,2.8,1,6,5,0.14379017
23,5,2.8,1,4,3,0.117913604
25,5,2.8,1,8,3,0.148844452
26,6,2.8,1,4,5,0.106829113
27,6,2.8,1,6,5,0.12792138
28,6,2.8,1,4,3,0.101145094
30,6,2.8,1,8,3,0.145368608
31,7,2.8,1,4,5,0.104189902
32,7,2.8,1,6,5,0.117788521
33,7,2.8,1,4,3,0.099513292
35,7,2.8,1,8,3,0.13638721
36,8,2.8,1,4,5,0.098188373
37,8,2.8,1,6,5,0.119908115
38,8,2.8,1,4,3,0.09985262
40,8,2.8,1,8,3,0.126682647
41,10,2.8,1,4,5,0.091750957
42,10,2.8,1,6,5,0.115855912
43,10,2.8,1,4,3,0.091504665
45,10,2.8,1,8,3,0.116905997
66,2,2.8,1,4,5,0.200885225
67,2,2.8,1,6,5,0.219130687
68,2,2.8,1,4,3,0.2101077
70,2,2.8,1,8,3,0.281068757
71,3,2.8,1,4,5,0.156060395
72,3,2.8,1,6,5,0.213664468
73,3,2.8,1,4,3,0.159225161
75,3,2.8,1,8,3,0.21703307
76,4,2.8,1,4,5,0.166076139
77,4,2.8,1,6,5,0.18865847
78,4,2.8,1,4,3,0.170899257
80,4,2.8,1,8,3,0.21244962
81,5,2.8,1,4,5,0.161466312
82,5,2.8,1,6,5,0.185114506
83,5,2.8,1,4,3,0.167642053
85,5,2.8,1,8,3,0.202110897
86.1,6,2.8,1,4,5,0.155927802
87,6,2.8,1,6,5,0.172839368
88,6,2.8,1,4,3,0.155564532
90,6,2.8,1,8,3,0.202205661
91,7,2.8,1,4,5,0.141305124
92,7,2.8,1,6,5,0.18888931
93,7,2.8,1,4,3,0.141369466
95,7,2.8,1,8,3,0.192251655
96,8,2.8,1,4,5,0.139525739
97,8,2.8,1,6,5,0.169371089
98,8,2.8,1,4,3,0.135696939
100,8,2.8,1,8,3,0.180394158
101,10,2.8,1,4,5,0.119995393
102,10,2.8,1,6,5,0.148030509
103,10,2.8,1,4,3,0.119923619
105,10,2.8,1,8,3,0.167330651
126,2,2.8,1,4,5,0.213548368
127,2,2.8,1,6,5,0.258226958
128,2,2.8,1,4,3,0.236732273
130,2,2.8,1,8,3,0.427648066
131,3,2.8,1,4,5,0.203450426
132,3,2.8,1,6,5,0.267629404
133,3,2.8,1,4,3,0.211742564
135,3,2.8,1,8,3,0.329282376
136,4,2.8,1,4,5,0.185821842
137,4,2.8,1,6,5,0.225840119
138,4,2.8,1,4,3,0.185425111
140,4,2.8,1,8,3,0.268045589
141,5,2.8,1,4,5,0.161655302
142,5,2.8,1,6,5,0.191755311
143,5,2.8,1,4,3,0.16786594
145,5,2.8,1,8,3,0.232363353
146.1,6,2.8,1,4,5,0.14988303
147,6,2.8,1,6,5,0.176488167
148,6,2.8,1,4,3,0.152340012
150,6,2.8,1,8,3,0.206765628
151,7,2.8,1,4,5,0.134609692
152.1,7,2.8,1,6,5,0.18116251
153,7,2.8,1,4,3,0.13344084
155,7,2.8,1,8,3,0.217768378
156.1,8,2.8,1,4,5,0.123563846
157.1,8,2.8,1,6,5,0.158969746
158,8,2.8,1,4,3,0.119203351
160,8,2.8,1,8,3,0.193489215
161.1,10,2.8,1,4,5,0.107744275
162.1,10,2.8,1,6,5,0.140033672
163,10,2.8,1,4,3,0.107176615
165,10,2.8,1,8,3,0.167508324
