CODIGO INTERNO,# STOREY,Codigo,SYSTEM,Detailing,LBAYS (m),NBAYS,Vb/w,SDR
6,2,CCCSR-84,F,OMF,5,5,0.191382109,4.068701046
7,2,CCCSR-84,F,IMF,5,5,0.205011604,4.198502944
8,2,CCCSR-84,F,SMF,5,5,0.273106115,5.613023602
12,3,CCCSR-84,F,OMF,5,5,0.197361759,1.871270617
13,3,CCCSR-84,F,IMF,5,5,0.239554,2.460562506
15,3,CCCSR-84,F,SMF,5,5,0.316376159,3.236873139
15,4,CCCSR-84,F,OMF,5,5,0.13105126,3.011335384
15,4,CCCSR-84,F,IMF,5,5,0.171463331,3.107348529
15,4,CCCSR-84,F,SMF,5,5,0.188139674,3.645096294
15,5,CCCSR-84,F,OMF,5,5,0.155965586,1.946422093
15,5,CCCSR-84,F,IMF,5,5,0.193965848,2.236846906
15,5,CCCSR-84,F,SMF,5,5,0.226655843,2.602371427
15,6,CCCSR-84,F,OMF,5,5,0.109477765,2.315230235
15,6,CCCSR-84,F,IMF,5,5,0.156471902,2.575923895
15,6,CCCSR-84,F,SMF,5,5,0.158019217,3.189728526
15,7,CCCSR-84,F,OMF,5,5,0.145923346,2.011167513
15,7,CCCSR-84,F,IMF,5,5,0.18737064,2.464719243
15,7,CCCSR-84,F,SMF,5,5,0.206583045,3.50979479
15,8,CCCSR-84,F,OMF,5,5,0.107145313,2.267346154
15,8,CCCSR-84,F,IMF,5,5,0.135037391,2.422414159
15,8,CCCSR-84,F,SMF,5,5,0.128014554,2.809162492
15,9,CCCSR-84,F,OMF,5,5,0.144588208,1.914173237
15,9,CCCSR-84,F,IMF,5,5,0.173272616,2.616852281
15,9,CCCSR-84,F,SMF,5,5,0.191198267,3.499301555
15,10,CCCSR-84,F,OMF,5,5,0.099197981,3.152107117
15,10,CCCSR-84,F,IMF,5,5,0.116256768,2.88122226
15,10,CCCSR-84,F,SMF,5,5,0.112507105,2.938179155
15,11,CCCSR-84,F,OMF,5,5,0.128169997,1.75008027
15,11,CCCSR-84,F,IMF,5,5,0.151596562,2.804693773
15,11,CCCSR-84,F,SMF,5,5,0.165142505,3.527169153
15,12,CCCSR-84,F,OMF,5,5,0.099497305,3.152107117
15,12,CCCSR-84,F,IMF,5,5,0.116499938,2.88122226
15,12,CCCSR-84,F,SMF,5,5,0.112878463,2.938179155
15,16,CCCSR-84,F,OMF,5,5,0.11820153,1.851618224
15,16,CCCSR-84,F,IMF,5,5,0.12112202,2.864001572
15,16,CCCSR-84,F,SMF,5,5,0.128312785,3.488027902
15,20,CCCSR-84,F,OMF,5,5,0.086459325,3.152107117
15,20,CCCSR-84,F,IMF,5,5,0.094332323,2.88122226
15,20,CCCSR-84,F,SMF,5,5,0.094129696,2.938179155
15,30,CCCSR-84,F,OMF,5,5,0.102222404,1.838952385
15,30,CCCSR-84,F,IMF,5,5,0.101422466,3.027455028
15,30,CCCSR-84,F,SMF,5,5,0.108745399,3.508333422
