LONGITUD_MAN,LATITUD_MAN,ESTRATO_P,PATRIMONIO,Urbanizaci,MANCHA_URB,PISO_R,Mixto,NP_USO,Residencial,Apartamento,Casa,NP_VIV,Concreto,Madera,Mamposteria,NP_PARED,Prefabricado,Baldosa,Cemento,Marmol/parque/madera pulida,NP_PISO,Tierra
-74.7883056,10.933005,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.804669,10.92108904,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8135556,10.91773373,2.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.765596,10.94304361,1.0,0,0,2010,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7848682,10.93370422,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8000062,10.91134767,2.0,0,0,2000,1.5,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8097356,10.91937999,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8151846,10.91878917,2.0,0,0,2005,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7669038,10.92384176,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7718171,10.93636248,2.0,0,0,1995,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7991306,10.90329082,2.0,0,0,2010,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7838576,10.91316254,1.5,0,1,2000,4.0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
-74.8178475,10.91587831,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8167545,10.91496997,2.0,0,1,2010,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7906655,10.90323872,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7967113,10.92488825,2.0,0,0,2000,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.762299,10.9148133,1.5,1,0,1990,1.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0
-74.7822861,10.89836204,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7870399,10.9218147,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8154949,10.92033592,1.5,0,0,2005,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8065428,10.91470115,2.0,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7887214,10.90448893,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.787277,10.92198329,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7850886,10.91100204,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7957609,10.92808021,2.0,0,0,2000,1.5,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.774525,10.92558729,1.0,0,0,1995,2.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.8184899,10.91741406,2.0,0,0,2005,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.776173,10.94000555,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7794464,10.93451086,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7895054,10.90322204,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8005996,10.91355069,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7690582,10.93188682,2.0,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7667904,10.92619077,1.5,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7721232,10.93579315,2.0,0,0,1995,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7688912,10.93674731,2.0,0,1,1995,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8071479,10.91190965,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7704204,10.92220124,1.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7748837,10.93622225,2.0,0,0,1995,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7940035,10.92807188,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8184899,10.91741406,2.0,0,0,2005,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7817399,10.90000221,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7863529,10.90387407,1.5,0,0,2005,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7794623,10.90900608,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7819477,10.92730016,2.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7965176,10.91273244,2.0,0,1,2005,2.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
-74.7842095,10.90884827,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8018922,10.91101468,2.0,0,0,2000,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8054462,10.89835936,1.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7722076,10.93423812,2.0,0,0,1990,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7719787,10.94020642,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7773036,10.93054482,1.5,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8021908,10.89283051,1.0,0,0,2010,1.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
-74.7657978,10.9149642,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7673593,10.93174101,2.0,0,0,1990,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7905667,10.89012976,1.0,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
-74.7779163,10.91022415,1.5,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8089722,10.91478338,1.5,0,0,2005,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
-74.7670884,10.93491701,2.0,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7979564,10.9177906,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.773023,10.94201828,2.0,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7678021,10.92775365,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7950202,10.92721965,1.5,0,0,2000,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7705058,10.92823587,2.0,0,0,1985,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7860308,10.9321481,2.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7837298,10.9267092,2.0,0,0,2005,2.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.8129846,10.91631155,2.0,0,0,2010,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7967113,10.92488825,2.0,0,0,2000,2.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.7662862,10.92467129,2.0,0,0,1985,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7944072,10.92883888,1.0,0,0,2000,1.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
-74.8030928,10.91712337,1.5,0,0,2000,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
-74.7714658,10.9312793,1.5,0,0,1990,1.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
